Indicator Name,Year,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
Ischaemic heart disease,2006,All,8180,12.00751571,31.21903738
Cerebrovascular disease,2006,All,4794,7.03716752,18.29634049
Road traffic accidents,2006,All,3825,5.61476132,14.59814401
Lower respiratory infections,2006,All,3693,5.42099701,14.09436492
"Trachea, bronchus, lung cancers",2006,All,1512,2.21948212,5.77056046
Ischaemic heart disease,2009,All,9361,13.87061404,33.33511743
Lower respiratory infections,2009,All,6273,9.29498578,22.33855268
Road traffic accidents,2009,All,4511,6.68415126,16.06395841
Cerebrovascular disease,2009,All,4511,6.68415126,16.06395841
Nephritis and nephrosis,2009,All,1682,2.49229493,5.98970917
Ischaemic heart disease,2012,All,10091,14.04492818,34.19516258
Lower respiratory infections,2012,All,8082,11.24874736,27.38730591
Cerebrovascular disease,2012,All,5220,7.26533794,17.68890582
Road traffic accidents,2012,All,4524,6.29662621,15.33038505
Nephritis and nephrosis,2012,All,1801,2.50668077,6.10301138
Ischaemic heart disease,2015,All,11018,13.65455875,36.39791824
Lower respiratory infections,2015,All,10273,12.73128354,33.93681377
Cerebrovascular disease,2015,All,5678,7.03672033,18.75724994
Road traffic accidents,2015,All,4154,5.14803386,13.72272213
Nephritis and nephrosis,2015,All,2097,2.59880284,6.92743098
Ischaemic heart disease,2000,All,5542,10.66589684,23.89384579
Cerebrovascular disease,2000,All,4009,7.71555042,17.28445106
Road traffic accidents,2000,All,3586,6.90146266,15.46072375
Lower respiratory infections,2000,All,2332,4.48806774,10.05421299
Nephritis and nephrosis,2000,All,1098,2.11316397,4.73393047
Ischaemic heart disease,2003,All,6754,10.93800609,27.34543704
Cerebrovascular disease,2003,All,4334,7.01885081,17.54739771
Road traffic accidents,2003,All,3738,6.05363736,15.13432687
Lower respiratory infections,2003,All,2853,4.62039256,11.55115959
Diabetes mellitus,2003,All,1388,2.24784608,5.6197019
Ischaemic heart disease,2010,All,9371,13.67669809,32.77875752
Lower respiratory infections,2010,All,6611,9.6485595,23.12457219
Cerebrovascular disease,2010,All,4763,6.95145801,16.66046549
Road traffic accidents,2010,All,4627,6.75297002,16.18475201
Nephritis and nephrosis,2010,All,1879,2.74234508,6.57254139
Ischaemic heart disease,2013,All,10169,13.71464793,33.65695733
Lower respiratory infections,2013,All,9221,12.43610665,30.51930411
Cerebrovascular disease,2013,All,5156,6.95375403,17.06512656
Road traffic accidents,2013,All,4497,6.06497903,14.88399421
Nephritis and nephrosis,2013,All,1923,2.5934967,6.36466997
Ischaemic heart disease,2016,All,11310,13.20690823,36.85881549
Lower respiratory infections,2016,All,10730,12.52963088,34.96861982
Cerebrovascular disease,2016,All,5876,6.86152014,19.14963747
Ischaemic heart disease,2002,All,6294,10.91855321,25.9992496
Cerebrovascular disease,2002,All,4190,7.26862694,17.30804827
Road traffic accidents,2002,All,3426,5.94327348,14.15211775
Lower respiratory infections,2002,All,2713,4.70639258,11.20685799
Diabetes mellitus,2002,All,1273,2.20834418,5.25850727
Ischaemic heart disease,2005,All,7592,11.51332252,29.55165216
Cerebrovascular disease,2005,All,4517,6.85006294,17.58229884
Road traffic accidents,2005,All,3818,5.79002442,14.86146048
Lower respiratory infections,2005,All,3418,5.18342154,13.30447143
Diabetes mellitus,2005,All,1473,2.23381508,5.73361217
Ischaemic heart disease,2008,All,9837,12.9406967,35.68319331
Lower respiratory infections,2008,All,5346,7.03272995,19.39233013
Cerebrovascular disease,2008,All,4985,6.55782993,18.08282186
Road traffic accidents,2008,All,4370,5.74878973,15.85194214
"Trachea, bronchus, lung cancers",2008,All,1697,2.23242475,6.15577707
Ischaemic heart disease,2011,All,10004,14.12276244,34.42291517
Lower respiratory infections,2011,All,7584,10.70642046,26.09590051
Cerebrovascular disease,2011,All,5112,7.21666949,17.58995825
Road traffic accidents,2011,All,4461,6.29764527,15.34992249
Nephritis and nephrosis,2011,All,1836,2.59190242,6.31752022
Ischaemic heart disease,2018,All,18267,15.56134836,57.93891424
Lower respiratory infections,2018,All,13877,11.82158161,44.01479788
Cerebrovascular disease,2018,All,9154,7.79813778,29.03447862
Road traffic accidents,2016,All,4594,5.36450366,14.97165326
Nephritis and nephrosis,2016,All,2363,2.75932132,7.70091786
Ischaemic heart disease,2019,All,16325,14.95456378,51.09581829
Lower respiratory infections,2019,All,13444,12.31541534,42.07854096
Cerebrovascular disease,2019,All,8691,7.96141585,27.2020678
Road traffic accidents,2019,All,4171,3.82085669,13.0548642
Nephritis and nephrosis,2019,All,3128,2.86541351,9.79036567
Road traffic accidents,2018,All,4358,3.7125065,13.82261938
Nephritis and nephrosis,2018,All,3426,2.91855146,10.86651996
Ischaemic heart disease,2001,All,5938,10.54538351,25.04521573
Cerebrovascular disease,2001,All,3925,6.97046653,16.55481167
Road traffic accidents,2001,All,3294,5.84986414,13.89338845
Lower respiratory infections,2001,All,2614,4.64224192,11.02529369
Nephritis and nephrosis,2001,All,1156,2.05295779,4.87576109
Ischaemic heart disease,2004,All,6981,10.77564251,27.71266103
Cerebrovascular disease,2004,All,4372,6.74847573,17.35564447
Road traffic accidents,2004,All,3773,5.82387898,14.97777827
Lower respiratory infections,2004,All,3094,4.77579687,12.28233394
Diabetes mellitus,2004,All,1392,2.14864552,5.52585935
Ischaemic heart disease,2007,All,9105,12.81852738,33.64943973
Cerebrovascular disease,2007,All,4858,6.83936365,17.95375928
Lower respiratory infections,2007,All,4278,6.02280726,15.81024747
Road traffic accidents,2007,All,4052,5.70463185,14.975017
"Trachea, bronchus, lung cancers",2007,All,1570,2.21033366,5.80226473
Ischaemic heart disease,2014,All,10432,13.48413365,33.97102049
Lower respiratory infections,2014,All,9305,12.02740257,30.30103007
Cerebrovascular disease,2014,All,5474,7.07555096,17.82566777
Road traffic accidents,2014,All,4209,5.44044465,13.70629076
Nephritis and nephrosis,2014,All,2056,2.65753248,6.69520879
Ischaemic heart disease,2017,All,13503,13.85775862,43.41152122
Lower respiratory infections,2017,All,12433,12.75964696,39.97152065
Cerebrovascular disease,2017,All,6878,7.05870279,22.11245227
Road traffic accidents,2017,All,4463,4.58025452,14.34833883
Nephritis and nephrosis,2017,All,2906,2.98234811,9.34265576
Ischaemic heart disease,2020,All,18515,16.96211809,57.20509353
Lower respiratory infections,2020,All,12576,11.52123128,38.8555904
Cerebrovascular disease,2020,All,9101,8.33768494,28.11901465
Road traffic accidents,2020,All,3149,2.88488846,9.72934591
Nephritis and nephrosis,2020,All,3114,2.85282397,9.62120774
