state,year,sex,abs,deaths_per_100k
Johor,2000,female,4981,373.8086304
Johor,2000,male,7163,500.8740648
Kedah,2000,female,3872,460.130719
Kedah,2000,male,5110,615.3660886
Kelantan,2000,female,3287,482.3184153
Kelantan,2000,male,4333,637.2058824
Melaka,2000,female,1727,536.3354037
Melaka,2000,male,1998,615.5268022
Negeri Sembilan,2000,female,1858,439.3473634
Negeri Sembilan,2000,male,2682,605.2809749
Pahang,2000,female,2233,361.7952041
Pahang,2000,male,3274,482.4638963
Perak,2000,female,5551,533.1348444
Perak,2000,male,7643,727.5583056
Perlis,2000,female,569,540.8745247
Perlis,2000,male,738,720.703125
Pulau Pinang,2000,female,3103,464.0346942
Pulau Pinang,2000,male,3934,592.4698795
Sabah,2000,female,1999,158.9156531
Sabah,2000,male,3204,238.1270903
Sarawak,2000,female,3619,355.3613511
Sarawak,2000,male,4894,464.7231982
Selangor,2000,female,5246,256.4152696
Selangor,2000,male,7460,348.110126
Terengganu,2000,female,1963,443.716094
Terengganu,2000,male,2607,566.4928292
W.P. Kuala Lumpur,2000,female,2323,333.8603047
W.P. Kuala Lumpur,2000,male,3169,440.016662
W.P. Labuan,2000,female,73,201.6574586
W.P. Labuan,2000,male,94,235.5889724
Johor,2001,female,5350,392.9489534
Johor,2001,male,7380,502.5878507
Kedah,2001,female,3979,464.9450806
Kedah,2001,male,5218,615.1850979
Kelantan,2001,female,3430,493.3831991
Kelantan,2001,male,4367,628.5261946
Melaka,2001,female,1685,508.6024751
Melaka,2001,male,2114,631.9880419
Negeri Sembilan,2001,female,1986,460.6819763
Negeri Sembilan,2001,male,2738,604.9491825
Pahang,2001,female,2314,369.2946058
Pahang,2001,male,3427,496.1633126
Perak,2001,female,5954,562.4940954
Perak,2001,male,7623,712.030637
Perlis,2001,female,570,534.7091932
Perlis,2001,male,765,736.9942197
Pulau Pinang,2001,female,3207,469.9589683
Pulau Pinang,2001,male,3955,582.8175656
Sabah,2001,female,2128,165.5902264
Sabah,2001,male,3309,240.0957771
Sarawak,2001,female,3778,364.2499036
Sarawak,2001,male,5115,474.3137982
Selangor,2001,female,5543,263.4130115
Selangor,2001,male,7825,353.5604554
Terengganu,2001,female,2024,448.9795918
Terengganu,2001,male,2842,605.8409721
W.P. Kuala Lumpur,2001,female,2417,340.3745951
W.P. Kuala Lumpur,2001,male,3329,452.2483358
W.P. Labuan,2001,female,58,158.0381471
W.P. Labuan,2001,male,101,250.6203474
Johor,2002,female,5696,410.197321
Johor,2002,male,7763,515.8139535
Kedah,2002,female,4297,494.2489073
Kedah,2002,male,5628,650.4102623
Kelantan,2002,female,3546,500.8474576
Kelantan,2002,male,4784,675.0388034
Melaka,2002,female,1835,539.547192
Melaka,2002,male,2131,619.656877
Negeri Sembilan,2002,female,2169,494.415318
Negeri Sembilan,2002,male,2882,624.3500867
Pahang,2002,female,2498,392.9526506
Pahang,2002,male,3799,540.398293
Perak,2002,female,6127,570.643569
Perak,2002,male,8218,755.2614649
Perlis,2002,female,643,594.8196115
Perlis,2002,male,735,699.3339676
Pulau Pinang,2002,female,3450,496.4743129
Pulau Pinang,2002,male,4253,614.2403235
Sabah,2002,female,2315,176.6636142
Sabah,2002,male,3549,251.9344076
Sarawak,2002,female,3740,354.3680121
Sarawak,2002,male,5078,460.4642728
Selangor,2002,female,5814,268.7933426
Selangor,2002,male,8108,355.1156272
Terengganu,2002,female,2244,489.1020052
Terengganu,2002,male,2807,587.4843031
W.P. Kuala Lumpur,2002,female,2539,350.9329648
W.P. Kuala Lumpur,2002,male,3519,468.82494
W.P. Labuan,2002,female,70,188.6792453
W.P. Labuan,2002,male,130,319.4103194
Johor,2003,female,5738,405.7417621
Johor,2003,male,7933,515.1967788
Kedah,2003,female,4511,511.3932661
Kedah,2003,male,5800,657.8947368
Kelantan,2003,female,3658,508.4792883
Kelantan,2003,male,4956,687.2833172
Melaka,2003,female,1777,509.7532989
Melaka,2003,male,2187,619.3712829
Negeri Sembilan,2003,female,2075,465.0380995
Negeri Sembilan,2003,male,2963,629.6217595
Pahang,2003,female,2497,387.311928
Pahang,2003,male,3794,530.4068223
Perak,2003,female,6298,579.0731887
Perak,2003,male,8263,748.1213219
Perlis,2003,female,609,555.6569343
Perlis,2003,male,807,758.4586466
Pulau Pinang,2003,female,3469,490.803622
Pulau Pinang,2003,male,4312,611.2843777
Sabah,2003,female,2474,185.2767168
Sabah,2003,male,3587,249.3223049
Sarawak,2003,female,3956,368.789037
Sarawak,2003,male,5331,473.3197194
Selangor,2003,female,5863,263.7308263
Selangor,2003,male,8432,358.1683799
