state,abs,rate,year
Johor,12144,4.4,2000
Johor,12730,4.5,2001
Johor,13459,4.7,2002
Johor,13671,4.6,2003
Johor,13842,4.6,2004
Johor,14152,4.6,2005
Johor,14546,4.6,2006
Johor,15165,4.7,2007
Johor,15926,4.9,2008
Johor,15971,4.8,2009
Johor,16060,4.8,2010
Johor,16479,4.8,2011
Johor,17201,5.0,2012
Johor,17696,5.1,2013
Johor,17904,5.0,2014
Johor,18853,5.2,2015
Johor,19924,5.5,2016
Johor,20662,5.6,2017
Johor,21117,5.6,2018
Johor,21799,5.8,2019
Johor,20680,5.2,2020
Johor,27002,6.7,2021
Johor,25342,6.3,2022
Johor,24705,6.0,2023
Kedah,8982,5.4,2000
Kedah,9197,5.4,2001
Kedah,9925,5.7,2002
Kedah,10311,5.8,2003
Kedah,10095,5.6,2004
Kedah,10280,5.6,2005
Kedah,10698,5.8,2006
Kedah,10847,5.8,2007
Kedah,11071,5.8,2008
Kedah,11618,6.0,2009
Kedah,11674,6.0,2010
Kedah,11869,6.0,2011
Kedah,12268,6.1,2012
Kedah,12516,6.1,2013
Kedah,13017,6.3,2014
Kedah,13674,6.5,2015
Kedah,13771,6.5,2016
Kedah,14332,6.7,2017
Kedah,14552,6.7,2018
Kedah,14302,6.6,2019
Kedah,13674,6.4,2020
Kedah,18470,8.6,2021
Kedah,17637,8.2,2022
Kedah,16643,7.6,2023
Kelantan,7620,5.6,2000
Kelantan,7797,5.6,2001
Kelantan,8330,5.9,2002
Kelantan,8614,6.0,2003
Kelantan,8547,5.8,2004
Kelantan,8834,5.9,2005
Kelantan,8940,5.9,2006
Kelantan,9186,6.0,2007
Kelantan,9694,6.3,2008
Kelantan,10114,6.4,2009
Kelantan,9798,6.2,2010
Kelantan,10024,6.2,2011
Kelantan,9890,6.0,2012
Kelantan,10042,6.0,2013
Kelantan,10588,6.1,2014
Kelantan,10789,6.1,2015
Kelantan,10809,6.0,2016
Kelantan,11203,6.1,2017
Kelantan,11316,6.1,2018
Kelantan,11410,6.1,2019
Kelantan,10939,6.1,2020
Kelantan,13927,7.7,2021
Kelantan,13445,7.3,2022
Kelantan,11839,6.4,2023
Melaka,3725,5.8,2000
Melaka,3799,5.7,2001
Melaka,3966,5.8,2002
Melaka,3964,5.6,2003
Melaka,4070,5.7,2004
Melaka,4140,5.6,2005
Melaka,4146,5.5,2006
Melaka,4145,5.4,2007
Melaka,4381,5.5,2008
Melaka,4472,5.5,2009
Melaka,4481,5.4,2010
